position,playerid,playername,team,competition,appearances,AVG,MOTMs,goals,assists,yellow_cards,two_yellow,red_cards,saves,goals_conceded,cleansheets
CDM,229659,Bryan Heynen,KRC Genk,UEFA Europa League,1,4.90,0,0,0,0,0,0,0,3,0
LM,262430,Kiko Bondoso,Moreirense FC,Liga Portugal,6,6.20,0,2,0,0,0,0,0,8,0
RM,229667,Josan,Elche CF,LALIGA EA SPORTS,6,6.10,0,0,0,2,0,0,0,7,0
CB,229668,Mario Hermoso,AS Roma,Serie A Enilive,4,6.65,1,1,0,1,0,0,0,4,0
CB,229668,Mario Hermoso,AS Roma,UEFA Europa League,1,6.70,0,0,0,0,0,0,0,1,0
CDM,254243,Elliot Anderson,Nottingham Forest,Carabao Cup,2,7.95,0,1,1,1,0,0,0,1,0
CDM,254243,Elliot Anderson,Nottingham Forest,UEFA Europa League,1,5.70,0,0,0,0,0,0,0,1,0
CDM,254243,Elliot Anderson,Nottingham Forest,Premier League,5,6.42,0,0,1,1,0,0,0,8,0
CAM,246053,Joe Gelhardt,Hull City,EFL Championship,7,6.26,1,1,0,0,0,0,0,9,2
CAM,246053,Joe Gelhardt,Hull City,Carabao Cup,2,5.80,0,0,0,0,0,0,0,1,0
CM,246054,Jensen Weir,Wigan Athletic,Carabao Cup,1,6.00,0,0,0,0,0,0,0,2,0
CDM,213296,Nabil Bentaleb,LOSC Lille,Ligue 1 McDonald's,3,6.27,0,0,0,0,0,0,0,1,0
CDM,213296,Nabil Bentaleb,LOSC Lille,UEFA Europa League,1,5.30,0,0,0,0,0,0,0,2,0
CM,237871,Jordan Holsgrove,Estoril Praia,Liga Portugal,7,6.20,0,0,0,1,0,0,0,5,0
CDM,270636,Etienne Camara,Sporting Charleroi,1A Pro League,9,5.91,0,0,0,1,0,0,0,11,1
CB,229682,Dael Fry,Middlesbrough,EFL Championship,7,6.07,0,0,0,0,0,0,0,4,0
CB,229682,Dael Fry,Middlesbrough,Carabao Cup,1,5.70,0,0,0,0,0,0,0,1,0
ST,229683,Rodrigo Pinho,Estrela Amadora,Liga Portugal,3,6.17,0,0,0,0,0,0,0,2,0
CB,254262,Zeno Debast,Sporting CP,Liga Portugal,7,6.60,0,1,0,2,0,0,0,4,1
CB,254262,Zeno Debast,Sporting CP,UEFA Champions League,1,6.90,0,0,0,0,0,0,0,0,1
LB,74064,Riccardo Turicchia,Virtus Entella,Coppa Italia,1,5.70,0,0,0,0,0,0,0,1,0
CDM,74067,Matheus Dias,CD Nacional,Liga Portugal,6,5.98,0,0,0,0,0,0,0,5,0
CDM,254273,Alexis Beka Beka,RAAL La Louvière,1A Pro League,9,5.72,0,0,0,1,0,0,0,10,1
CM,74072,Christian Pierobon,S.S. Juve Stabia 1907,Coppa Italia,1,5.80,0,0,0,0,0,0,0,2,0
CB,229703,Dimitrios Goutas,Gençlerbirliği SK,Trendyol Süper Lig,6,6.15,0,0,0,0,0,0,0,5,0
