competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Saudi Pro League,1645,113060,111674,Al Okhdood,TBD,TBD,Al Shabab,20251031,1800
Saudi Pro League,1645,113037,112139,Al Riyadh,TBD,TBD,Al Nassr,20251101,1730
Saudi Pro League,1645,113222,113057,Al Hazem,TBD,TBD,Al Fayha,20251101,1730
Saudi Pro League,1645,605,112096,Al Hilal,TBD,TBD,Al Ettifaq,20251031,1800
Saudi Pro League,1645,113217,112391,Damac,TBD,TBD,Al Qadsiah,20251101,1730
Saudi Pro League,1645,112883,131735,Al Khaleej,TBD,TBD,Al Kholood,20251126,1755
Saudi Pro League,1645,115892,607,Al Najmah,TBD,TBD,Al Ittihad,20251101,1600
Saudi Pro League,1645,112387,115892,Al Ahli,TBD,TBD,Al Najmah,20251107,1600
Saudi Pro League,1645,607,112883,Al Ittihad,TBD,TBD,Al Khaleej,20251107,1800
Saudi Pro League,1645,131735,113217,Al Kholood,TBD,TBD,Damac,20251107,1800
Saudi Pro League,1645,112391,605,Al Qadsiah,TBD,TBD,Al Hilal,20251107,1600
Saudi Pro League,1645,112096,113222,Al Ettifaq,TBD,TBD,Al Hazem,20251106,1730
Saudi Pro League,1645,113057,113037,Al Fayha,TBD,TBD,Al Riyadh,20251106,1730
Saudi Pro League,1645,112139,113060,Al Nassr,TBD,TBD,Al Okhdood,20251106,1730
Saudi Pro League,1645,111674,131798,Al Shabab,TBD,TBD,Neom,20251105,1730
Saudi Pro League,1645,112393,112390,Al Taawoun,TBD,TBD,Al Fateh,20251107,1600
Saudi Pro League,1645,112393,112387,Al Taawoun,TBD,TBD,Al Ahli,20251122,1600
Saudi Pro League,1645,112390,111674,Al Fateh,TBD,TBD,Al Shabab,20251123,1600
Saudi Pro League,1645,131798,112139,Neom,TBD,TBD,Al Nassr,20251122,1600
Saudi Pro League,1645,113060,113057,Al Okhdood,TBD,TBD,Al Fayha,20251123,1600
Saudi Pro League,1645,113037,112096,Al Riyadh,TBD,TBD,Al Ettifaq,20251122,1400
Saudi Pro League,1645,113222,112391,Al Hazem,TBD,TBD,Al Qadsiah,20251122,1400
Saudi Pro League,1645,605,131735,Al Hilal,TBD,TBD,Al Kholood,20251122,1400
Saudi Pro League,1645,113217,607,Damac,TBD,TBD,Al Ittihad,20251122,1600
Saudi Pro League,1645,112883,115892,Al Khaleej,TBD,TBD,Al Najmah,20251122,1400
Saudi Pro League,1645,112387,112883,Al Ahli,TBD,TBD,Al Khaleej,20251129,1600
Saudi Pro League,1645,115892,113217,Al Najmah,TBD,TBD,Damac,20251130,1600
Saudi Pro League,1645,607,605,Al Ittihad,TBD,TBD,Al Hilal,20251129,1400
Saudi Pro League,1645,131735,113222,Al Kholood,TBD,TBD,Al Hazem,20251129,1600
Saudi Pro League,1645,112391,113037,Al Qadsiah,TBD,TBD,Al Riyadh,20251130,1600
Saudi Pro League,1645,112096,113060,Al Ettifaq,TBD,TBD,Al Okhdood,20251129,1600
Saudi Pro League,1645,113057,131798,Al Fayha,TBD,TBD,Neom,20251130,1600
Saudi Pro League,1645,112139,112390,Al Nassr,TBD,TBD,Al Fateh,20251129,1600
