competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Serie A Enilive,1076,111434,110556,Cremonese,TBD,TBD,Genoa,20260214,1700
Serie A Enilive,1076,131682,45,Inter Milan,TBD,TBD,Juventus,20260214,1945
Serie A Enilive,1076,115841,115845,Lazio,TBD,TBD,Atalanta,20260215,1130
Serie A Enilive,1076,50,206,Parma,TBD,TBD,Hellas Verona,20260215,1400
Serie A Enilive,1076,55,111974,Udinese,TBD,TBD,Sassuolo,20260215,1400
Serie A Enilive,1076,110738,131681,Pisa,TBD,TBD,AC Milan,20260215,1700
Serie A Enilive,1076,48,52,SSC Napoli,TBD,TBD,AS Roma,20260215,1945
Serie A Enilive,1076,1842,347,Cagliari,TBD,TBD,Lecce,20260216,1945
Serie A Enilive,1076,111974,206,Sassuolo,TBD,TBD,Hellas Verona,20260220,1945
Serie A Enilive,1076,189,55,Bologna,TBD,TBD,Udinese,20260221,1400
Serie A Enilive,1076,110374,110738,Fiorentina,TBD,TBD,Pisa,20260221,1700
Serie A Enilive,1076,115845,48,Atalanta,TBD,TBD,SSC Napoli,20260221,1945
Serie A Enilive,1076,131681,50,AC Milan,TBD,TBD,Parma,20260222,1130
Serie A Enilive,1076,347,131682,Lecce,TBD,TBD,Inter Milan,20260222,1400
Serie A Enilive,1076,52,111434,AS Roma,TBD,TBD,Cremonese,20260222,1400
Serie A Enilive,1076,1842,115841,Cagliari,TBD,TBD,Lazio,20260222,1700
Serie A Enilive,1076,45,1745,Juventus,TBD,TBD,Como 1907,20260222,1945
Serie A Enilive,1076,110556,54,Genoa,TBD,TBD,Torino,20260223,1945
Serie A Enilive,1076,55,110374,Udinese,TBD,TBD,Fiorentina,20260227,1945
Serie A Enilive,1076,1745,347,Como 1907,TBD,TBD,Lecce,20260228,1400
Serie A Enilive,1076,54,115841,Torino,TBD,TBD,Lazio,20260228,1700
Serie A Enilive,1076,131682,110556,Inter Milan,TBD,TBD,Genoa,20260228,1945
Serie A Enilive,1076,110738,189,Pisa,TBD,TBD,Bologna,20260301,1130
Serie A Enilive,1076,206,48,Hellas Verona,TBD,TBD,SSC Napoli,20260301,1400
Serie A Enilive,1076,52,45,AS Roma,TBD,TBD,Juventus,20260301,1400
Serie A Enilive,1076,111434,131681,Cremonese,TBD,TBD,AC Milan,20260301,1700
Serie A Enilive,1076,111974,115845,Sassuolo,TBD,TBD,Atalanta,20260301,1945
Serie A Enilive,1076,50,1842,Parma,TBD,TBD,Cagliari,20260302,1945
